generation,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,avg
0,0.0,0.04097545503864475,0.0,0.12413152452547216,0.18742286912296757,0.08227991069915397,0.07886181024432082,0.13030520434651005,0.0,0.11363071241665468,0.16713133709947203,0.0,0.03061664830016042,0.056661041877140494,0.17637017308177871,0.07922577911681836
1,0.0,0.08611571813590102,0.0,0.12413152452547216,0.18742286912296757,0.08227991069915397,0.07886181024432082,0.13030520434651005,0.0,0.11363071241665468,0.16713133709947203,0.0,0.03061664830016042,0.056661041877140494,0.17637017308177871,0.08223512998996879
2,0.0,0.08611571813590102,0.0,0.12413152452547216,0.19378802331790057,0.1351860310947881,0.07886181024432082,0.13030520434651005,0.0,0.11830724681652849,0.16713133709947203,0.0,0.03061664830016042,0.056661041877140494,0.17637017308177871,0.08649831725599819
3,0.0,0.08611571813590102,0.0,0.12413152452547216,0.19378802331790057,0.1351860310947881,0.07886181024432082,0.13030520434651005,0.0,0.11830724681652849,0.16713133709947203,0.0436730453768821,0.049775609670294596,0.056661041877140494,0.17637017308177871,0.09068711770579929
4,0.0,0.08611571813590102,0.0,0.12413152452547216,0.19378802331790057,0.1351860310947881,0.07886181024432082,0.13030520434651005,0.0,0.11830724681652849,0.16713133709947203,0.0436730453768821,0.049775609670294596,0.056661041877140494,0.17637017308177871,0.09068711770579929
5,0.0,0.08611571813590102,0.0,0.12413152452547216,0.2041922403089953,0.1351860310947881,0.07886181024432082,0.13030520434651005,0.0,0.11830724681652849,0.16713133709947203,0.0436730453768821,0.049775609670294596,0.056661041877140494,0.17637017308177871,0.09138073217187227
6,0.0,0.08611571813590102,0.0,0.16215522829633267,0.2041922403089953,0.1351860310947881,0.07886181024432082,0.13030520434651005,0.04931264537778057,0.11830724681652849,0.16713133709947203,0.0436730453768821,0.049775609670294596,0.056661041877140494,0.17637017308177871,0.09720315544844832
7,0.091052769590804,0.08611571813590102,0.0,0.16215522829633267,0.2041922403089953,0.1351860310947881,0.07886181024432082,0.13030520434651005,0.04931264537778057,0.11830724681652849,0.16713133709947203,0.0436730453768821,0.0576360900657088,0.056661041877140494,0.17637017308177871,0.10379737211419619
8,0.091052769590804,0.08611571813590102,0.0,0.16215522829633267,0.2041922403089953,0.1351860310947881,0.09906711472138885,0.13030520434651005,0.04931264537778057,0.11830724681652849,0.16713133709947203,0.0436730453768821,0.0576360900657088,0.056661041877140494,0.17637017308177871,0.1051443924126674
9,0.091052769590804,0.08611571813590102,0.0,0.16215522829633267,0.2041922403089953,0.1351860310947881,0.09906711472138885,0.13030520434651005,0.06150411621427576,0.12812836065692912,0.16713133709947203,0.0436730453768821,0.0576360900657088,0.05679802352467167,0.17637017308177871,0.10662103016762921
10,0.091052769590804,0.08671700013520678,0.0,0.16215522829633267,0.2041922403089953,0.13888955706393824,0.09906711472138885,0.13030520434651005,0.06150411621427576,0.13775028890788976,0.16713133709947203,0.0436730453768821,0.07223200317686462,0.10825069618730065,0.2324177325967165,0.11568922226817181
